phase,condition,left_face,right_face,correct_resp
learning,80_vs_20,logs/sub-99/id-1269_gender-F_age-23_rewardprob-80_session-plusneu.png,logs/sub-99/id-1291_gender-F_age-24_rewardprob-20_session-plusneu.png,f
learning,80_vs_20,logs/sub-99/id-1269_gender-F_age-23_rewardprob-80_session-plusneu.png,logs/sub-99/id-1291_gender-F_age-24_rewardprob-20_session-plusneu.png,f
learning,80_vs_20,logs/sub-99/id-1269_gender-F_age-23_rewardprob-80_session-plusneu.png,logs/sub-99/id-1291_gender-F_age-24_rewardprob-20_session-plusneu.png,f
learning,80_vs_20,logs/sub-99/id-1269_gender-F_age-23_rewardprob-80_session-plusneu.png,logs/sub-99/id-1291_gender-F_age-24_rewardprob-20_session-plusneu.png,f
learning,80_vs_20,logs/sub-99/id-1269_gender-F_age-23_rewardprob-80_session-plusneu.png,logs/sub-99/id-1291_gender-F_age-24_rewardprob-20_session-plusneu.png,f
learning,80_vs_20,logs/sub-99/id-1269_gender-F_age-23_rewardprob-80_session-plusneu.png,logs/sub-99/id-1291_gender-F_age-24_rewardprob-20_session-plusneu.png,f
learning,80_vs_20,logs/sub-99/id-1269_gender-F_age-23_rewardprob-80_session-plusneu.png,logs/sub-99/id-1291_gender-F_age-24_rewardprob-20_session-plusneu.png,f
learning,80_vs_20,logs/sub-99/id-1269_gender-F_age-23_rewardprob-80_session-plusneu.png,logs/sub-99/id-1291_gender-F_age-24_rewardprob-20_session-plusneu.png,f
learning,80_vs_20,logs/sub-99/id-1269_gender-F_age-23_rewardprob-80_session-plusneu.png,logs/sub-99/id-1291_gender-F_age-24_rewardprob-20_session-plusneu.png,f
learning,80_vs_20,logs/sub-99/id-1269_gender-F_age-23_rewardprob-80_session-plusneu.png,logs/sub-99/id-1291_gender-F_age-24_rewardprob-20_session-plusneu.png,f
learning,80_vs_20,logs/sub-99/id-1269_gender-F_age-23_rewardprob-80_session-plusneu.png,logs/sub-99/id-1291_gender-F_age-24_rewardprob-20_session-plusneu.png,f
learning,80_vs_20,logs/sub-99/id-1269_gender-F_age-23_rewardprob-80_session-plusneu.png,logs/sub-99/id-1291_gender-F_age-24_rewardprob-20_session-plusneu.png,f
learning,80_vs_20,logs/sub-99/id-1269_gender-F_age-23_rewardprob-80_session-plusneu.png,logs/sub-99/id-1291_gender-F_age-24_rewardprob-20_session-plusneu.png,f
learning,80_vs_20,logs/sub-99/id-1269_gender-F_age-23_rewardprob-80_session-plusneu.png,logs/sub-99/id-1291_gender-F_age-24_rewardprob-20_session-plusneu.png,f
learning,80_vs_20,logs/sub-99/id-1269_gender-F_age-23_rewardprob-80_session-plusneu.png,logs/sub-99/id-1291_gender-F_age-24_rewardprob-20_session-plusneu.png,f
learning,80_vs_20,logs/sub-99/id-1269_gender-F_age-23_rewardprob-80_session-plusneu.png,logs/sub-99/id-1291_gender-F_age-24_rewardprob-20_session-plusneu.png,f
learning,80_vs_20,logs/sub-99/id-1269_gender-F_age-23_rewardprob-80_session-plusneu.png,logs/sub-99/id-1291_gender-F_age-24_rewardprob-20_session-plusneu.png,f
learning,80_vs_20,logs/sub-99/id-1269_gender-F_age-23_rewardprob-80_session-plusneu.png,logs/sub-99/id-1291_gender-F_age-24_rewardprob-20_session-plusneu.png,f
learning,80_vs_20,logs/sub-99/id-1269_gender-F_age-23_rewardprob-80_session-plusneu.png,logs/sub-99/id-1291_gender-F_age-24_rewardprob-20_session-plusneu.png,f
learning,80_vs_20,logs/sub-99/id-1269_gender-F_age-23_rewardprob-80_session-plusneu.png,logs/sub-99/id-1291_gender-F_age-24_rewardprob-20_session-plusneu.png,f
learning,80_vs_20,logs/sub-99/id-1269_gender-F_age-23_rewardprob-80_session-plusneu.png,logs/sub-99/id-1291_gender-F_age-24_rewardprob-20_session-plusneu.png,j
learning,80_vs_20,logs/sub-99/id-1269_gender-F_age-23_rewardprob-80_session-plusneu.png,logs/sub-99/id-1291_gender-F_age-24_rewardprob-20_session-plusneu.png,j
learning,80_vs_20,logs/sub-99/id-1269_gender-F_age-23_rewardprob-80_session-plusneu.png,logs/sub-99/id-1291_gender-F_age-24_rewardprob-20_session-plusneu.png,j
learning,80_vs_20,logs/sub-99/id-1269_gender-F_age-23_rewardprob-80_session-plusneu.png,logs/sub-99/id-1291_gender-F_age-24_rewardprob-20_session-plusneu.png,j
learning,80_vs_20,logs/sub-99/id-1269_gender-F_age-23_rewardprob-80_session-plusneu.png,logs/sub-99/id-1291_gender-F_age-24_rewardprob-20_session-plusneu.png,j
learning,80_vs_20,logs/sub-99/id-1291_gender-F_age-24_rewardprob-20_session-plusneu.png,logs/sub-99/id-1269_gender-F_age-23_rewardprob-80_session-plusneu.png,f
learning,80_vs_20,logs/sub-99/id-1291_gender-F_age-24_rewardprob-20_session-plusneu.png,logs/sub-99/id-1269_gender-F_age-23_rewardprob-80_session-plusneu.png,f
learning,80_vs_20,logs/sub-99/id-1291_gender-F_age-24_rewardprob-20_session-plusneu.png,logs/sub-99/id-1269_gender-F_age-23_rewardprob-80_session-plusneu.png,f
learning,80_vs_20,logs/sub-99/id-1291_gender-F_age-24_rewardprob-20_session-plusneu.png,logs/sub-99/id-1269_gender-F_age-23_rewardprob-80_session-plusneu.png,f
learning,80_vs_20,logs/sub-99/id-1291_gender-F_age-24_rewardprob-20_session-plusneu.png,logs/sub-99/id-1269_gender-F_age-23_rewardprob-80_session-plusneu.png,f
learning,80_vs_20,logs/sub-99/id-1291_gender-F_age-24_rewardprob-20_session-plusneu.png,logs/sub-99/id-1269_gender-F_age-23_rewardprob-80_session-plusneu.png,j
learning,80_vs_20,logs/sub-99/id-1291_gender-F_age-24_rewardprob-20_session-plusneu.png,logs/sub-99/id-1269_gender-F_age-23_rewardprob-80_session-plusneu.png,j
learning,80_vs_20,logs/sub-99/id-1291_gender-F_age-24_rewardprob-20_session-plusneu.png,logs/sub-99/id-1269_gender-F_age-23_rewardprob-80_session-plusneu.png,j
learning,80_vs_20,logs/sub-99/id-1291_gender-F_age-24_rewardprob-20_session-plusneu.png,logs/sub-99/id-1269_gender-F_age-23_rewardprob-80_session-plusneu.png,j
learning,80_vs_20,logs/sub-99/id-1291_gender-F_age-24_rewardprob-20_session-plusneu.png,logs/sub-99/id-1269_gender-F_age-23_rewardprob-80_session-plusneu.png,j
learning,80_vs_20,logs/sub-99/id-1291_gender-F_age-24_rewardprob-20_session-plusneu.png,logs/sub-99/id-1269_gender-F_age-23_rewardprob-80_session-plusneu.png,j
learning,80_vs_20,logs/sub-99/id-1291_gender-F_age-24_rewardprob-20_session-plusneu.png,logs/sub-99/id-1269_gender-F_age-23_rewardprob-80_session-plusneu.png,j
